userID,username,email,password,createdAt
1,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,02/12/2005
2,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/13/2005
3,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/14/2005
4,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/15/2005
5,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/16/2005
6,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/17/2005
7,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/18/2005
8,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/19/2005
9,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/20/2005
10,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/21/2005
11,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/22/2005
12,charles,heese.c@northeastern.edu,asdpmoasdpomasdpom,2/23/2005
